Fecha,Nivel
2011-9-11,43.80
2011-9-12,43.80
2011-9-13,43.70
2011-9-14,43.70
2011-9-15,43.70
2011-9-16,43.70
2011-9-17,43.70
2011-9-18,43.60
2011-9-19,43.60
2011-9-20,43.60
2011-9-21,43.60
2011-9-22,43.50
2011-9-23,43.50
2011-9-24,43.50
2011-9-25,43.50
2011-9-26,43.50
2011-9-27,43.50
2011-9-28,43.40
2011-9-29,43.40
2011-9-30,43.40
2011-10-1,43.40
2011-10-2,43.40
2011-10-3,43.40
2011-10-4,43.30
2011-10-5,43.30
2011-10-6,43.30
2011-10-7,43.20
2011-10-8,43.20
2011-10-9,43.20
2011-10-10,43.20
2011-10-11,43.20
2011-10-12,43.20
2011-10-13,43.20
2011-10-14,44.20
2011-10-15,43.10
2011-10-16,43.10
2011-10-17,43.10
2011-10-18,43.10
2011-10-19,43.10
2011-10-20,43.10
2011-10-21,43.00
2011-10-22,43.00
2011-10-23,43.00
2011-10-24,43.00
2011-10-25,43.10
2011-10-26,43.10
2011-10-27,43.10
2011-10-28,43.20
2011-10-29,43.20
2011-10-30,43.20
2011-10-31,43.20
2011-11-1,43.20
2011-11-2,43.20
2011-11-3,43.10
2011-11-4,43.10
2011-11-5,43.10
2011-11-6,43.10
2011-11-7,43.10
2011-11-8,43.00
2011-11-9,43.00
2011-11-10,43.00
2011-11-11,43.00
2011-11-12,42.90
2011-11-13,42.90
2011-11-14,43.00
2011-11-15,43.00
2011-11-16,43.00
2011-11-17,43.00
2011-11-18,42.90
2011-11-19,42.90
2011-11-20,42.90
2011-11-21,43.00
2011-11-22,43.00
2011-11-23,43.00
2011-11-24,43.00
2011-11-25,42.90
2011-11-26,42.90
2011-11-27,42.90
2011-11-28,42.90
2011-11-29,42.90
2011-11-30,42.90
2011-12-1,42.90
2011-12-2,42.90
2011-12-3,42.80
2011-12-4,42.80
2011-12-5,42.80
2011-12-6,42.80
2011-12-7,42.80
2011-12-8,42.90
2011-12-9,42.90
2011-12-10,42.90
