Mes,Dia,Nivel_Mean
8,11,44.61111
8,12,44.63
8,13,44.59
8,14,44.57
8,15,44.54
8,16,44.5
8,17,44.46667
8,18,44.43333
8,19,44.42222
8,20,44.41
8,21,44.38
8,22,44.36
8,23,44.33
8,24,44.32222
8,25,44.26667
8,26,44.26
8,27,44.23
8,28,44.21
8,29,44.18
8,30,44.04444
8,31,44.04286
9,1,44.11111
9,2,44.06
9,3,44.04
9,4,44.02
9,5,43.98
9,6,43.96
9,7,43.98889
9,8,43.95556
9,9,43.92
9,10,43.91
9,11,43.89
9,12,43.88
9,13,43.85
9,14,43.85556
9,15,43.82222
9,16,43.78
9,17,43.76
9,18,43.72
9,19,43.7
9,20,43.7
9,21,43.72222
9,22,43.7
9,23,43.61
9,24,43.58
9,25,43.57
9,26,43.54
9,27,43.5
9,28,43.53333
9,29,43.53333
9,30,43.48889
10,1,43.51
10,2,43.49
10,3,43.49
10,4,43.43
10,5,43.44444
10,6,43.44444
10,7,43.47
10,8,43.43
10,9,43.43
10,10,43.41
10,11,43.4
10,12,43.36667
10,13,43.34444
10,14,43.42222
10,15,43.31
10,16,43.33
10,17,43.32
10,18,43.33
10,19,43.3
10,20,43.27778
10,21,43.27
10,22,43.28
10,23,43.29
10,24,43.3
10,25,43.3
10,26,43.31111
10,27,43.31111
10,28,43.33
10,29,43.33
10,30,43.35
10,31,43.41
11,1,43.34
11,2,43.51111
11,3,43.52222
11,4,43.36
11,5,43.38
11,6,43.41
11,7,43.44
11,8,43.47
11,9,43.72222
11,10,43.74444
11,11,43.76667
11,12,43.56
11,13,43.61
11,14,43.61
11,15,43.63
11,16,43.65
11,17,43.62
11,18,43.63
11,19,43.63
11,20,43.62
11,21,43.64
11,22,43.63
11,23,43.64
11,24,43.64
11,25,43.64
11,26,43.65
11,27,43.65
11,28,43.72
11,29,43.75
11,30,43.96667
12,1,44.22857
12,2,44.0625
12,3,44.24286
12,4,44.28571
12,5,44.2
12,6,44.38571
12,7,44.275
12,8,44.38571
12,9,44.2625
12,10,44.37143
12,11,44.38571
12,12,44.2625
12,13,44.25
12,14,44.2625
12,15,44.2375
12,16,44.225
12,17,44.225
12,18,44.25
12,19,44.2625
12,20,44.2625
12,21,44.25
12,22,44.2375
12,23,44.2125
12,24,44.3
12,25,44.3
12,26,44.37143
12,27,44.65
12,28,44.51429
12,29,44.31667
12,30,44.12
12,31,44
